INCIDENT_KEY,OCCUR_DATE,OCCUR_TIME,STATISTICAL_MURDER_FLAG
229188686,6/6/21,2:00:00,TRUE
227551204,4/29/21,19:30:00,FALSE
225297069,3/7/21,21:17:00,FALSE
234101081,9/26/21,16:20:00,TRUE
227551204,4/29/21,19:30:00,FALSE
224354731,2/14/21,2:05:00,FALSE
234482345,10/2/21,3:21:00,FALSE
229192994,6/4/21,16:58:00,FALSE
233470540,8/12/21,7:23:00,FALSE
232888017,8/29/21,17:44:00,TRUE
236761013,11/21/21,16:56:00,TRUE
232132666,8/11/21,19:11:00,TRUE
227950643,5/6/21,10:16:00,FALSE
225089050,3/3/21,0:01:00,FALSE
232733684,8/25/21,23:16:00,FALSE
229542171,6/14/21,2:47:00,FALSE
222526451,1/1/21,1:15:00,FALSE
233762539,9/18/21,19:41:00,FALSE
229091710,6/3/21,23:30:00,FALSE
232632359,8/23/21,9:30:00,FALSE
232193235,8/13/21,1:00:00,FALSE
236285201,11/14/21,19:41:00,TRUE
236650847,11/20/21,15:01:00,TRUE
234433697,10/3/21,7:35:00,FALSE
222932692,1/11/21,23:49:00,FALSE
229188687,6/5/21,21:30:00,TRUE
237278623,12/2/21,13:45:00,TRUE
234756218,10/10/21,1:55:00,TRUE
237362977,12/3/21,18:15:00,FALSE
233459106,9/10/21,17:35:00,FALSE
230507309,7/6/21,0:08:00,FALSE
231246225,7/22/21,6:32:00,TRUE
227950650,5/6/21,23:28:00,FALSE
227497354,4/28/21,23:55:00,FALSE
225601140,3/13/21,3:50:00,FALSE
227950668,5/9/21,19:48:00,FALSE
233459106,9/10/21,17:35:00,TRUE
235637134,10/28/21,23:55:00,TRUE
231810238,8/4/21,19:57:00,FALSE
235086141,10/15/21,22:10:00,TRUE
231635824,7/30/21,4:56:00,TRUE
225601140,3/13/21,3:50:00,FALSE
231325837,7/24/21,21:57:00,FALSE
230448646,7/4/21,22:15:00,TRUE
232390407,8/17/21,13:00:00,TRUE
226542151,4/5/21,23:15:00,TRUE
229579330,6/15/21,12:40:00,FALSE
227433672,4/27/21,22:08:00,FALSE
227266591,4/22/21,22:45:00,FALSE
233307766,9/8/21,13:59:00,FALSE
223298155,1/19/21,18:11:00,FALSE
230835286,7/14/21,19:45:00,FALSE
227647476,5/2/21,18:18:00,FALSE
