BORO,LOCATION_DESC,PRECINCT,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lon_Lat
MANHATTAN,GROCERY/BODEGA,14,986382,213900,40.75379058,-73.99230628,POINT (-73.99230628299993 40.75379058100003)
BRONX,COMMERCIAL BLDG,41,1015966,235235,40.81229282,-73.88542618,POINT (-73.885426178 40.812292824000046)
MANHATTAN,MULTI DWELL - APT BUILD,10,985774,214976,40.75674405,-73.99450053,POINT (-73.99450053399994 40.756744052000045)
BRONX,MULTI DWELL - PUBLIC HOUS,42,1010706,243782,40.83576922,-73.90439442,POINT (-73.90439441599993 40.83576922100008)
BROOKLYN,MULTI DWELL - APT BUILD,90,999645,195120,40.70223092,-73.94447824,POINT (-73.94447824399998 40.702230918000055)
QUEENS,BANK,105,1053012,187109,40.67998889,-73.75208863,POINT (-73.752088626 40.67998889000006)
BRONX,MULTI DWELL - APT BUILD,41,1013619,238885,40.82231916,-73.89388882,POINT (-73.89388882499998 40.82231915700004)
QUEENS,GROCERY/BODEGA,103,1036890,196410,40.70562848,-73.8101416,POINT (-73.81014159699998 40.705628483000055)
MANHATTAN,MULTI DWELL - PUBLIC HOUS,28,998362,231048,40.80084632,-73.94903008,POINT (-73.94903008499993 40.800846321000044)
STATEN ISLAND,PVT HOUSE,120,966127,162589,40.61293531,-74.06527594,POINT (-74.06527594399995 40.61293530900008)
BRONX,MULTI DWELL - APT BUILD,47,1024807,261935,40.88554018,-73.85332627,POINT (-73.85332627499997 40.885540183000046)
MANHATTAN,MULTI DWELL - APT BUILD,28,997172,231564,40.80226442,-73.95332727,POINT (-73.95332727199997 40.80226442000002)
QUEENS,HOTEL/MOTEL,102,1031801,199218,40.71336458,-73.82847652,POINT (-73.82847651899993 40.71336457500007)
BROOKLYN,MULTI DWELL - APT BUILD,71,995792,178767,40.6573515,-73.95840238,POINT (-73.95840237599998 40.65735150300002)
BRONX,COMMERCIAL BLDG,48,1013250,249437,40.85128254,-73.89517643,POINT (-73.89517642899995 40.85128254400007)
BRONX,BAR/NIGHT CLUB,44,1006999,245897,40.84158461,-73.91778364,POINT (-73.91778363799993 40.841584606000026)
QUEENS,MULTI DWELL - PUBLIC HOUS,113,1044582,188312,40.68335231,-73.78247103,POINT (-73.78247103499997 40.68335231200007)
BRONX,MULTI DWELL - APT BUILD,52,1010327,253958,40.86370045,-73.90572447,POINT (-73.90572447299998 40.86370044700004)
MANHATTAN,MULTI DWELL - PUBLIC HOUS,23,1000868,225731,40.78624824,-73.93999178,POINT (-73.93999177999996 40.78624823600006)
BRONX,MULTI DWELL - APT BUILD,47,1020808,262493,40.88708919,-73.86778567,POINT (-73.86778566699996 40.88708918800006)
BROOKLYN,GROCERY/BODEGA,70,995518,177276,40.65325939,-73.9593924,POINT (-73.95939240299998 40.65325938700005)
BROOKLYN,MULTI DWELL - PUBLIC HOUS,75,1018075,179398,40.65902638,-73.87808807,POINT (-73.87808806799995 40.65902637800008)
BRONX,MULTI DWELL - APT BUILD,48,1013207,249659,40.85189201,-73.8953309,POINT (-73.89533089999998 40.85189201000002)
MANHATTAN,GROCERY/BODEGA,30,999453,241204,40.82871989,-73.94506648,POINT (-73.94506648099998 40.82871989100005)
BRONX,MULTI DWELL - PUBLIC HOUS,40,1005710,233682,40.80806114,-73.92248131,POINT (-73.92248131399998 40.80806113500005)
BRONX,COMMERCIAL BLDG,46,1012382,253198,40.86160817,-73.89829816,POINT (-73.89829816399998 40.86160816800003)
